आफ्रिकाखण्डः	アフリカ
भारतस्य राष्ट्रपतिः	インドの大統領
अनिलकपूरः	アニル・カプール
जगदीश चन्द्र बसु	ジャガディッシュ・チャンドラ・ボース
बिन्दुसारः	ビンドゥサーラ
सिलवासा	スィルヴァーサー
जिरोलावो फ्राकास्टोरो	ジローラモ・フラカストロ
जमशेदजी टाटा	ジャムシェトジー・タタ
अश्वत्थवृक्षः	ゴータマ・ブッダの菩提樹
मनुस्मृतिः	マヌ法典
भारतरत्नम्	バーラット・ラトナ賞
घृतम्	ギー
सारनाथम्	サールナート
राकेश शर्मा	ラケッシュ・シャルマ
होमी जहाँगीर भाभा	ホーミ・J・バーバー
मावेन् अन्तरिक्षयानम्	MAVEN
उत्पतनी	トランポリン
मत्स्यावतारः	マツヤ
मेरी कोम्	メアリー・コム
वेदव्यासः	ヴィヤーサ
कोटा	コーター (インド)
मोरादाबाद्	ムラーダーバード
भारतीयवायुसेना	インド空軍
लूथर् बर्ब्याङ्क्	ルーサー・バーバンク
मसानबु फ़ुकोका	福岡正信
भर्तृहरिः	バルトリハリ
एरण्डतैलम्	ひまし油
नोबल पुरस्कार-विजेतानां सूची	ノーベル賞受賞者の一覧
धरणी	ビーム
जेम्स १	ジェームズ1世
भारतीयभूसेना	インド陸軍
भारतीयनौसेना	インド海軍
हिन्दुस्थानवैमानिकसंस्था (HAL)	ヒンドスタン航空機
जरनैल सिंह भिण्डरांवाले	ジャルネイル・シン・ビンドランワレ
माषः	ケツルアズキ
रायपुर	ラーイプル
भारतीयदर्शनशास्त्रम्	インド哲学
राजेन्द्रकुमारः पचौरि	ラジェンドラ・パチャウリ
मेघनाद साहा	メーグナード・サーハー
उशीरसस्यम्	ベチバー
अजीम प्रेमजी	アジム・プレムジ
विकिपीडिया:वैज्ञानिक-शब्दावलिः/V	省エネルギー
कार्तिकेयः	スカンダ
राजसर्षपः	クロガラシ
दुर्गा	ドゥルガー
पाटना	パータリプトラ
अग्निः	アグニ
भारतीय-प्रीमियर् लीग्	インディアン・プレミアリーグ
जेम्स २	ジェームズ2世
जाह्न	ヨハネ
मातारामराजवंशः	古マタラム王国
अजमेरमण्डलम्	アジュメール県
खाद्यतैलम्	サラダ油
कारवेल्लम्	ツルレイシ
पाटलः	ピンク
काल्मेट् लियान् चारल्स् आल्बर्ट्	アルベール・カルメット
अमर गोपाल बोस	アマー・G・ボーズ
आमेर	アンベール城
बीदरनगरम्	ビーダル
माथेरान् पर्वतीयधूमशकटयानम्	マテラン登山鉄道
सायना नेहवाल	サイナ・ネワール
एनी बेसन्ट्	アニー・ベサント
माता अमृतानन्‍दमयी	マーター・アムリターナンダマイー
सुल्ताना ऱसीया	ラズィーヤ
होय्सळवंशः	ホイサラ朝
आसनम्	アーサナ
भारतीयलिपयः	ブラーフミー系文字
विजय् अमृतराज्	ビジャイ・アムリトラジ
लाल कृष्ण आडवाणी	ラール・クリシュナ・アードヴァーニー
जे.आर्.डि.टाटा	ジャハンギール・ラタンジ・ダーダーバーイ・タタ
श्री श्री रविशङ्करः	シュリ・シュリ・ラビ・シャンカール
सर् जेम्स् सिम्सन्	ジェームズ・シンプソン
करुणानिधिः	M・カルナーニディ
एडवर्ड बालियोल	エドワード・ベイリャル (スコットランド王)
लवनीयम्	ギュウシンリ
कूर्मावतारः	クールマ
भारतस्य संविधानम्	インド憲法
चार्वाकदर्शनम्	順世派
कशेरुः	脊椎
लुईस नानी	ルイス・カルロス・アルメイダ・ダ・クーニャ
मानवरहितविमानम्	無人航空機
मुहम्मद इकबाल	ムハンマド・イクバール
मुद्गः	リョクトウ
औरङ्गजेबः	アウラングゼーブ
नद्यावली विस्तारः च	長さ順の川の一覧
हुमायून्	フマーユーン
भारतस्य प्रधानमन्त्रिणः	インドの歴代首相
२०१४ एशिया क्रीडाः	2014年アジア競技大会
है हे नदी	海河
अ	中舌狭めの広母音
सन्तूर् (वाद्यम्)	サントゥール
मानसवन्यजन्तुधाम	マナス国立公園
ज्	有声歯茎摩擦音
एजिकील् फ्रैएर्स्	エゼキエル・フライアーズ
आजमगढ-नगरम्	アーザムガル
सबाधधावनम्	障害走
दक्षिणभारतम्	南インド
बृहदारण्यकोपनिषत्	ブリハッド・アーラニヤカ・ウパニシャッド
बि.के.एस्. अय्यङ्गार्	B.K.S.アイアンガー
दिङ्नागः	陳那
भरतपुरम्	バラトプル (インド)
अनुपम खेर	アヌパム・カー
उशनाः	シュクラ
पाटण	パータン
कूर्मपुराणम्	クールマ・プラーナ
त्रिभुवन विश्वविद्यालय	トリブバン大学
बदरीनाथः	バドリーナート
एडवर्ड ८	エドワード8世 (イギリス王)
अरोविले	オーロヴィル
